Participant_number,Fictional_story,Abstract_shapes,Sensory_sensations,Life_experiences,Media,Music,Future_plans,Building,Everyday,Movement_mem,Mem_description,Mem_music_evoked,Mem_spontaneity,Mem_individuality,Movement_story,Story_description,Story_music_evoked,Story_spontaneity,Story_individuality,Other_info,Age,Gender,Music_listening,Practice,Location
1,3,1,1,2,2,4,,1,2,B1,Children playing on the shore of a river. Small children laughing and playing. ,4,4,3,B3,Soldiers marching. Also a youthful Beethoven,3,4,4,Soldiers were frightening,80,Male,3,4,E
2,2,2,1,4,1,3,4,3,2,H4,Don't remember movement in particular. Was thinking of interaction with a co-worker. It was a stressful interaction about the nature of our project/work.,3,3,4,B2,Imagined seeing a large field out in nature of water flowing -- focusing on individual droplets of water,3,2,3,,28,Male,3,Not daily practice but weekly? For 5 years,G
3,,4,4,,,5,,,,B1;H6,B1: As if I was part of a Monet painting. I was a little girl in a long white drass and a ribbon smelling the flowers. H6: I was a ballerina doing point.,4,4,4,,"Not a story, just me being present in the moment and moving to the music.",4,4,4,,52,Female,3,N/A,H
4,2,2,2,,,2,,,,B3; H4; H5,B: Images of dancers -- during several movements of the Beethoven as well as bright colours clashing. H: During the Hough -- one of the movements brought thoughts of bees buzzing and/or flies making a drone-like sound,3,3,2,B2;B3;H4;H5,B: Beethoven -- people dancing to the music,3,3,2,,78,Female,3,,G
5,1,1,1,1,1,5,1,1,3,B1,Remembering when I played the piece myself,5,1,5,H3,DrunKen Pizzaiolo,5,5,5,,31,Male,5,24,I
6,2,3,2,4,2,,3,2,3,B1,I had images of free growing things like vines over tranquil pools. The scene was both peaceful and full of life. There seemed both prompted by memories of willow and also entirely newly created within my mind.,4,3,3,B4,"I had visions of traffic, panicky between the bustle of vehicles and people and the more quiet byways along the sides",3,3,3,"Initially, I found that I most experienced colors,  forming across my violins in gentle, hailed streams. Of course, mundane thoughts invaded, but later I had more concrete images as well",38,female,4,,k
7,2,4,2,4,3,5,5,4,2,H6,"Reminded me of the wind storm night this week, and trying to sleep through it and the dog keeping me up all night",5,5,5,B2;B3;H4;H5,"A drifting, wandering mindset- upbeat and flowing-- like a walk through a beautiful area on a relaxing weekend. ",5,5,5,,58,Female,3,04-May,K
8,3,1,1,4,2,2,3,1,2,B3; H2,"No long memory, but a lot of memories about highsehod things (1981-05)",3,5,4,,I had no fictional memories,1,1,1,,57,Male,1,Never,K
9,2,1,1,3,2,3,2,1,3,H6,Visiting grocery markets in Paris with my late grandmother. Some of the music made me think of vendors shouting out their wares. ,2,3,3,B2,"Contemplation of sad things- the current state of the world, especialy war, death and grief",3,4,2,,34,Female,5,15,K
10,,,,3,,4,,,,B1,"The sprightly manner in which the Takacs played the first movement brought to mind a specific memory. My wife and I were walking on a hillside in the Adivondad region of NY State when we came upon a swarm of dragon flies flying around each other in a sunny spot. There were dozens of them, never leaving that sunny spot for as long as we gazed at them. All the same species. They seemed to be enjoying each other. ",5,5,4,B2,"The death scene from Romeo and Juliette, which I have heard Beethoven had in mind when he wrote this movement. The music perfectly fits this scene, so it is not difficult to imagine it during this movement. ",4,5,2,"The last movement of the Hough had a very striking musical depiction of laughter, among the best I have heard from any composer. ",73,Male,5,68,I
11,2,3,2,2,3,3,3,3,3,H1,"Thought about an old high-school friend. Recalled how he went to trade school & began contemplating his continued existence in the same hometown he grew up in. Had a blue-collared attitude -- him & the friends he used to hang out with. Appreciated his friendship, but never felt too close to him. It's an obtuse thought. ",4,5,4,B3,"Thought up a story about a woman who makes the internal vow to write the longest poem she can. She's a mother with one young daughter, and I envisioned them in a living room setting. She's trying to write lines, while her daughter draws next to her. ",3,4,4,,25,Male,5,8,K
12,4,3,2,2,2,5,1,1,1,H2; H3; H4,"Honestly, was imagining the section of ""A gentleman in Moscow"" ""Cabarat"" Secrat grande section",5,5,4,B2,Personal conversation ,5,5,4,,71,Female,5,60+ ,J
13,4,1,3,2,1,3,1,1,2,H5,#NAME?,4,4,1,H2,Walk thorugh natural scenes,5,5,1,,,Male,5,,J
14,5,4,3,4,1,3,1,1,1,B1,"The Beethoven seemed to begin as a frolic on a beautiful summer's day. Dancing, conversing, enjoying the overtures, eated on the glrass in a partk. Noice surrounds with the awrmth of the sun, twittering insects, butterflies, and swaying of trees. Couples begin to pair off as theiy paster lovingly more intimate conversations as the day pose slowly to noon and eventually to sunset and evening",4,5,5,H3,"The story enters the lobby of a hotel where a set of actions take place. People checking in and out, discussions arise in the lobby some pleasant other full of disturbance and anxiety. The hotel is forcefully ending with crying. Staff and guests. There is continued action and nothing is resolved, there is never a ___, pure chaos. ",5,5,5,,63,Male,5,Oct-15,H
15,4,3,1,3,3,4,1,3,2,B1,I remember performing with a trio and the interaction of my fellow performers. ,4,3,4,H4,"The composer's discussion prior to the performance started me thinkin gabout marionettes etc, and the more lurid aspects of paris int he 20s.",4,4,4,,75,Female,5,"many, many years",I
16,1,1,1,4,3,4,4,2,3,H5,Events in my life - planning how to navigate the times ahead,3,3,3,,,,,,I don't omagine fiction to music...,73,Female ,3,Not recently - childhood ,H
