Participant_number,Fictional_story,Abstract_shapes,Sensory_sensations,Life_experiences,Media,Music,Future_plans,Building,Everyday,Movement_mem,Mem_description,Mem_music_evoked,Mem_spontaneity,Mem_individuality,Movement_story,Story_description,Story_music_evoked,Story_spontaneity,Story_individuality,Other_info,Feedback
1,1,1,1,2,1,2,1,1,1,Br1,A Royal Court,4,4,2,Br1,As above -- mostly static images,4,3,3,,1st half -- more interference in the music. Brahms more complex -- demanded my full attention
2,3,2,1,3,1,4,3,2,2,Br3,No particularly strong memories. Some work related stress :( Similarly thought about stressful interactions at work with coworkers,3,4,3,Br3,Very intense storm over a desert (either movement 2 or 3). Turbulent clouds. Rain.,5,4,3,The lst movement (last ~1.5 minutes) were so powerful!,
3,3,,3,,,4,,,,Br1,Reminded me of the tune from Dr. Zhivago. Could remember the soup on a cold day.,4,4,4,Br1,Dr. Zhivago,4,4,4,,Nice! Glad to be a part of your research. Would be interested in your findings. Maybe present them at a different PUC!
4,2,,2,,,2,1,1,1,Br1;Br4,At times I was too distracted by the hands of the pianist and the intense emotions of the viola player. Br1: The first movement made me think of the ocean sea and its many moods from quietly lapping to a raging storm.,3,2,2,Br1;Br4,,3,2,2,,
5,1,1,1,5,1,5,5,1,3,Br1,I remembered times when I played the piece myself,5,5,5,Br1,No fictional story,1,1,1,,
6,2,2,3,3,1,3,2,2,2,Br2,,,,,Br2,"I imagined sheep as the music started, and their wooly bodies were quite vivid and lifelike",3,5,3,,"I found it interesting to categorize my inner musings as memories, plans for the future, fictitious musings and everyday stuff. Often, these become intertwined as the memories morph into new concepts and ideas for the future"
7,4,2,2,4,2,5,4,4,5,Br2,My relaxing wonderful lunch with my daughter on Sunday. Afterwards- out talking to the aary,4,5,5,Br4,Definitely a frantic search for something important,5,5,5,,
8,4,1,1,2,2,3,1,1,1,Br3,"to con donn to detail, all over the board ",2,4,4,Br4,a lot of fictitious images about my prior job in law enforcement,4,4,5,No,
9,1,2,1,3,1,3,2,1,2,Br3,The scherzo has been one of my favorite pieces since I was a teenager and I listen to it often. The last time I saw it performed was by faculty at a summer music camp I attended when I was 16. I kept thinking about the summer camp even though those memories in general don't 'match' the music. ,5,4,4,,No ficional thoughts that I remember,,,,,
10,3,,,2,,2,,,,Br3,,,,,Br3,"The opening of the Scherzo brought to mind a scene of people fleeing by night through a wav-torn landscape. But the major section following brought to mind people marching proudly by dat. The alternation of there themes grew to suggest an entire population, a national struggle of some kind. The finale continued their feeling. ",4,5,3,,
