StartDate,EndDate,Status,Progress,Duration,Finished,RecordedDate,ResponseId,DistributionChannel,UserLanguage,Q1,Fictional_story,Abstract_shapes,Sensory_sensations,Life_experiences,Media,Music,Future_plans,Building,Everyday,Piece_mem,Movement_B_mem,Movement_H_mem,Mem_description,Mem_music_evoked,Mem_spontaneity,Mem_individuality,Piece_story,Movement_B_story,Movement_H_story,Story_description,Story_music_evoked,Story_spontaneity,Story_individuality,Other_info,Age,Gender,Music_listening,Practice,Location,ID
Start Date,End Date,Response Type,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Distribution Channel,User Language,Participant Consent:,"Thinking back on the first half of the concert, how often did you experience each of these types of thought, memory or imagining? - I imagined a fictional story or scene","Thinking back on the first half of the concert, how often did you experience each of these types of thought, memory or imagining? - I imagined abstract shapes, colors or patterns","Thinking back on the first half of the concert, how often did you experience each of these types of thought, memory or imagining? - I imagined smells, tastes or other sensory sensations","Thinking back on the first half of the concert, how often did you experience each of these types of thought, memory or imagining? - I had memories of experiences from my life","Thinking back on the first half of the concert, how often did you experience each of these types of thought, memory or imagining? - I had memories from media such as films, TV, or video games","Thinking back on the first half of the concert, how often did you experience each of these types of thought, memory or imagining? - I had thoughts about the music","Thinking back on the first half of the concert, how often did you experience each of these types of thought, memory or imagining? - I had thoughts about the future or personal plans","Thinking back on the first half of the concert, how often did you experience each of these types of thought, memory or imagining? - I had thoughts about the building or space","Thinking back on the first half of the concert, how often did you experience each of these types of thought, memory or imagining? - I had thoughts about everyday stuff",Select the piece during which you imagined the most vivid memory.,"In which movement of the Beethoven did you imagine the most vivid memory? If you’re not sure of the movement, try and make your best guess.","In which movement of the Hough did you imagine the most vivid memory? If you’re not sure of the movement, try and make your best guess.",Please describe the memory in as much detail as possible.,To what degree do you think these memories were prompted by the music you just heard?,To what degree did these memories come to mind spontaneously (without special effort)?,Would you say that the memories you experienced were individual to you?,Select the piece during which you imagined the most vivid fictional story or scene.,"In which movement of the Beethoven did you imagine the most vivid fictional story or scene? If you’re not sure of the movement, try and make your best guess.","In which movement of the Hough did you imagine the most vivid fictional story or scene? If you’re not sure of the movement, try and make your best guess.",Please describe the story or scene you imagined in as much detail as possible.,To what degree do you think these imaginings were prompted by the music you just heard?,To what degree did these imaginings come to mind spontaneously (without special effort)?,Would you say that the imaginings you experienced were individual to you?,"If you would like to add any further information, such as another movement that elicited a strong response, please do so here.",Please enter your age.,Please select your gender.,Please indicate how frequently you listen to classical music.,For how many years in total have you engaged in regular daily practice of a musical instrument (including voice)?,Please indicate the part of the auditorium in which you are seated (see image for reference — click to enlarge and zoom).,"To help us match your responses in the next part of the survey, we'll ask you to make an anonymous ID. This is just to help us keep track of things, and it can't be linked to you in any way.

We'll prompt you to give this ID again at the start of the next survey.



Please provide:

	The first three letters of your birth month.
	The last four digits of your phone number.



For example: mar0417"
"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""status""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""_recordId""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID72""}","{""ImportId"":""QID1217591986_1""}","{""ImportId"":""QID1217591986_2""}","{""ImportId"":""QID1217591986_3""}","{""ImportId"":""QID1217591986_4""}","{""ImportId"":""QID1217591986_5""}","{""ImportId"":""QID1217591986_6""}","{""ImportId"":""QID1217591986_7""}","{""ImportId"":""QID1217591986_8""}","{""ImportId"":""QID1217591986_9""}","{""ImportId"":""QID92""}","{""ImportId"":""QID42""}","{""ImportId"":""QID101""}","{""ImportId"":""QID40_TEXT""}","{""ImportId"":""QID9""}","{""ImportId"":""QID10""}","{""ImportId"":""QID36""}","{""ImportId"":""QID91""}","{""ImportId"":""QID3""}","{""ImportId"":""QID93""}","{""ImportId"":""QID4_TEXT""}","{""ImportId"":""QID5""}","{""ImportId"":""QID6""}","{""ImportId"":""QID37""}","{""ImportId"":""QID35_TEXT""}","{""ImportId"":""QID11_TEXT""}","{""ImportId"":""QID12""}","{""ImportId"":""QID13""}","{""ImportId"":""QID14_TEXT""}","{""ImportId"":""QID78""}","{""ImportId"":""QID73_TEXT""}"
20/02/2025 18:34,20/02/2025 18:38,IP Address,100,202,TRUE,20/02/2025 18:38,R_5vSlg739R9VNJOp,qr,EN,I hereby give my consent to be a subject of the research,Most of the time,A small amount of the time,Not at all,A moderate amount of the time,A small amount of the time,Most of the time,Most of the time,A moderate amount of the time,A small amount of the time,Beethoven,Movement 1 — Allegro con brio,,,Slightly,Mostly,Mostly,Beethoven,Movement 2 — Adagio affettuoso ed appassionato,,,Moderately,Mostly,Mostly,,20,Female,Very frequently,15,K,01/10/5716
20/02/2025 18:34,20/02/2025 18:38,IP Address,100,239,TRUE,20/02/2025 18:38,R_5dFccIFVvdvKeUT,qr,EN,I hereby give my consent to be a subject of the research,A small amount of the time,Not at all,Not at all,A small amount of the time,Not at all,Most of the time,Most of the time,A small amount of the time,Most of the time,Hough,,Movement 5 — À l'église,,Moderately,Mostly,Entirely,Hough,,Movement 4 — Au théâtre,,Mostly,Moderately,Slightly,,48,Male,Frequently,20,D,Sep0403
20/02/2025 18:34,20/02/2025 18:38,IP Address,100,273,TRUE,20/02/2025 18:38,R_5lU6ZgIkkcqFh61,qr,EN,I hereby give my consent to be a subject of the research,A moderate amount of the time,Not at all,Not at all,A small amount of the time,Not at all,Most of the time,A moderate amount of the time,A small amount of the time,A moderate amount of the time,Hough,,Movement 6 — Au marché,"Thoughts of being in a church in Paris. Quite literal, directed by the title of the music but also the music itself. ",Entirely,Entirely,Entirely,Beethoven,Movement 1 — Allegro con brio,,"Children playing in a field, summertime. Frolicking. ",Mostly,Entirely,Entirely,,54,Female,Moderately frequently,10,I,Jul0850
20/02/2025 18:34,20/02/2025 18:39,IP Address,100,283,TRUE,20/02/2025 18:39,R_5P8c4Sx8YxlFoD2,qr,EN,I hereby give my consent to be a subject of the research,A moderate amount of the time,Not at all,Not at all,A moderate amount of the time,A small amount of the time,Most of the time,Not at all,Not at all,Not at all,Hough,,Movement 3 — À l'hôtel,,Moderately,Mostly,Moderately,Hough,,Movement 4 — Au théâtre,,Mostly,Mostly,Moderately,,52,Male,Very frequently,0,G,01/06/6797
20/02/2025 18:34,20/02/2025 18:39,IP Address,100,325,TRUE,20/02/2025 18:39,R_54Dl8wyR0exwXXF,qr,EN,I hereby give my consent to be a subject of the research,A small amount of the time,A small amount of the time,A small amount of the time,A small amount of the time,Not at all,Most of the time,A small amount of the time,A small amount of the time,A moderate amount of the time,Hough,,Movement 4 — Au théâtre,"Probably stimulated by Stephen Hough’s comments, marionettes",Slightly,Mostly,Not at all,Hough,,Movement 4 — Au théâtre,Same: marionettes,Moderately,Mostly,Not at all,,73,Male,Moderately frequently,0,C,Dec793
20/02/2025 18:34,20/02/2025 18:39,IP Address,100,313,TRUE,20/02/2025 18:39,R_5O32vmA6cFP3fuq,qr,EN,I hereby give my consent to be a subject of the research,Most of the time,Not at all,A small amount of the time,A small amount of the time,Not at all,Most of the time,A moderate amount of the time,A small amount of the time,A moderate amount of the time,Beethoven,Movement 1 — Allegro con brio,,pleasant walks through nature,Entirely,Slightly,Mostly,Hough,,Movement 6 — Au marché,,Entirely,Moderately,Moderately,,69,Male,Moderately frequently,0,J,jan
20/02/2025 18:35,20/02/2025 18:40,IP Address,100,292,TRUE,20/02/2025 18:40,R_7nZtwUTWCHlK0Yz,qr,EN,I hereby give my consent to be a subject of the research,Not at all,Not at all,Not at all,All of the time,Not at all,A moderate amount of the time,Most of the time,Not at all,A moderate amount of the time,Beethoven,Movement 2 — Adagio affettuoso ed appasionato,,I was on an Amtrak train to Washington DC,Not at all,Entirely,Entirely,Hough,,Movement 2 — Au parc,Knowing the piece was called Au Parc I was imagining a park in Paris which I know,Moderately,Moderately,Mostly,I thought about at least twenty different subject  I did too think about past musical experiences but mostly it was the stuff of my life that came to mind,50,Male,Very frequently,30,H,Aug1588
20/02/2025 18:34,20/02/2025 18:40,IP Address,100,363,TRUE,20/02/2025 18:40,R_5j81cLDDAmrLIRJ,qr,EN,I hereby give my consent to be a subject of the research,Not at all,Not at all,Not at all,A small amount of the time,A moderate amount of the time,A small amount of the time,Most of the time,Not at all,A small amount of the time,Hough,,Movement 2 — Au parc,Stroll in the park ,Slightly,Moderately,Mostly,Hough,,Movement 1 — Au boulevard,,Slightly,Moderately,Moderately,,28,Female,Somewhat rarely,0,G,vm1012
