StartDate,EndDate,Status,Progress,Duration,Finished,RecordedDate,ResponseId,DistributionChannel,UserLanguage,ID,Fictional_story,Abstract_shapes,Sensory_sensations,Life_experiences,Media,Music,Future_plans,Building,Everyday,Movement_mem,Mem_description,Mem_music_evoked,Mem_spontaneity,Mem_individuality,Movement_story,Story_description,Story_music_evoked,Story_spontaneity,Story_individuality,Other_info,Feedback
Start Date,End Date,Response Type,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Distribution Channel,User Language,"Welcome back!

To help us match your responses from the last survey, please provide your anonymous ID again.


Your ID is:

	The first three letters of your birth month.
	The last four digits of your phone number. 



For example: mar0417","Thinking back on the second half of the concert, how often did you experience each of these types of thought, memory or imagining? - I imagined a fictional story or scene","Thinking back on the second half of the concert, how often did you experience each of these types of thought, memory or imagining? - I imagined abstract shapes, colors or patterns","Thinking back on the second half of the concert, how often did you experience each of these types of thought, memory or imagining? - I imagined smells, tastes or other sensory sensations","Thinking back on the second half of the concert, how often did you experience each of these types of thought, memory or imagining? - I had memories of experiences from my life","Thinking back on the second half of the concert, how often did you experience each of these types of thought, memory or imagining? - I had memories from media such as films, TV, or video games","Thinking back on the second half of the concert, how often did you experience each of these types of thought, memory or imagining? - I had thoughts about the music","Thinking back on the second half of the concert, how often did you experience each of these types of thought, memory or imagining? - I had thoughts about the future or personal plans","Thinking back on the second half of the concert, how often did you experience each of these types of thought, memory or imagining? - I had thoughts about the building or space","Thinking back on the second half of the concert, how often did you experience each of these types of thought, memory or imagining? - I had thoughts about everyday stuff","Select the movement during which you imagined the most vivid memory. If you’re not sure of the movement, try and make your best guess.",Please describe the memory in as much detail as possible.,To what degree do you think these memories were prompted by the music you just heard?,To what degree did these memories come to mind spontaneously (without special effort)?,Would you say that the memories you experienced were individual to you?,"Select the movement during which you imagined the most vivid fictional story or scene. If you’re not sure of the movement, try and make your best guess.",Please describe the story or scene you imagined in as much detail as possible.,To what degree do you think these imaginings were prompted by the music you just heard?,To what degree did these imaginings come to mind spontaneously (without special effort)?,Would you say that the imaginings you experienced were individual to you?,"If you would like to add any further information, such as another movement that elicited a strong response, please do so here.",Do you have any feedback about the experience of taking the survey?
"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""status""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""_recordId""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID72_TEXT""}","{""ImportId"":""QID1218181345_1""}","{""ImportId"":""QID1218181345_2""}","{""ImportId"":""QID1218181345_3""}","{""ImportId"":""QID1218181345_4""}","{""ImportId"":""QID1218181345_5""}","{""ImportId"":""QID1218181345_6""}","{""ImportId"":""QID1218181345_7""}","{""ImportId"":""QID1218181345_8""}","{""ImportId"":""QID1218181345_9""}","{""ImportId"":""QID1218181352""}","{""ImportId"":""QID1218181353_TEXT""}","{""ImportId"":""QID1218181355""}","{""ImportId"":""QID1218181356""}","{""ImportId"":""QID1218181357""}","{""ImportId"":""QID1218181346""}","{""ImportId"":""QID1218181347_TEXT""}","{""ImportId"":""QID1218181349""}","{""ImportId"":""QID1218181350""}","{""ImportId"":""QID1218181351""}","{""ImportId"":""QID1218181358_TEXT""}","{""ImportId"":""QID1218181362_TEXT""}"
20/02/2025 19:40,20/02/2025 19:42,IP Address,100,95,TRUE,20/02/2025 19:42,R_5nT6L5lmHVtBQuS,anonymous,EN,Sep0403,Not at all,Not at all,Not at all,A small amount of the time,Not at all,Most of the time,A moderate amount of the time,A small amount of the time,A moderate amount of the time,"Brahms, movement 1 — Allegro non troppo",,Not at all,Mostly,Mostly,"Brahms, movement 1 — Allegro non troppo",,Not at all,Not at all,Not at all,,
20/02/2025 19:40,20/02/2025 19:43,IP Address,100,127,TRUE,20/02/2025 19:43,R_5HhJ78NUy9QHapR,anonymous,EN,vm1012,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,A small amount of the time,,,Not at all,Entirely,Slightly,,,Not at all,Not at all,Not at all,,
20/02/2025 19:41,20/02/2025 19:43,IP Address,100,88,TRUE,20/02/2025 19:43,R_7Cqmbon1mkGwysa,anonymous,EN,Sep1864,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,"Brahms, movement 1 — Allegro non troppo",,Not at all,Entirely,Entirely,"Brahms, movement 1 — Allegro non troppo",,Not at all,Entirely,Entirely,,
20/02/2025 19:41,20/02/2025 19:43,IP Address,100,113,TRUE,20/02/2025 19:43,R_7rC3aclEWp7YcNN,anonymous,EN,01/07/9850,Not at all,Not at all,Not at all,A small amount of the time,Not at all,Most of the time,Most of the time,A small amount of the time,A moderate amount of the time,"Brahms, movement 3 — Scherzo: Allegro",Like the racetrack!,Mostly,,Entirely,"Brahms, movement 3 — Scherzo: Allegro",Racetrack ,Mostly,Entirely,Entirely,,
20/02/2025 19:41,20/02/2025 19:43,IP Address,100,112,TRUE,20/02/2025 19:43,R_6O7f7Cw1RfQkhFq,anonymous,EN,01/10/2743,A moderate amount of the time,A moderate amount of the time,Not at all,A small amount of the time,Not at all,All of the time,Not at all,Not at all,Not at all,"Brahms, movement 3 — Scherzo: Allegro",,Not at all,Entirely,Entirely,"Brahms, movement 3 — Scherzo: Allegro",,Slightly,Moderately,Mostly,,
20/02/2025 19:42,20/02/2025 19:44,IP Address,100,81,TRUE,20/02/2025 19:44,R_1DMvh2UrlvgmVI0,anonymous,EN,01/10/5716,Most of the time,A small amount of the time,Not at all,Most of the time,A small amount of the time,All of the time,Most of the time,A moderate amount of the time,A moderate amount of the time,"Brahms, movement 3 — Scherzo: Allegro",,Slightly,Slightly,Mostly,"Brahms, movement 3 — Scherzo: Allegro",,Moderately,Mostly,Mostly,,
20/02/2025 19:41,20/02/2025 19:44,IP Address,100,173,TRUE,20/02/2025 19:44,R_7j82OCVHjOLkRyX,anonymous,EN,01/06/6797,A small amount of the time,Not at all,A small amount of the time,A small amount of the time,A moderate amount of the time,A moderate amount of the time,A moderate amount of the time,Most of the time,A moderate amount of the time,"Brahms, movement 1 — Allegro non troppo",,Mostly,Mostly,Mostly,"Brahms, movement 1 — Allegro non troppo",,Moderately,Mostly,Moderately,,
20/02/2025 19:42,20/02/2025 19:44,IP Address,100,141,TRUE,20/02/2025 19:44,R_7t5zUG1qBL48JPA,anonymous,EN,aug318,Not at all,Not at all,A moderate amount of the time,Not at all,Not at all,Most of the time,A moderate amount of the time,Not at all,A small amount of the time,"Brahms, movement 3 — Scherzo: Allegro",Calm,Moderately,Moderately,Moderately,"Brahms, movement 3 — Scherzo: Allegro",Calm,Moderately,Moderately,Moderately,,
